City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,aykhal,66.0,111.5,16.01,66,100,4.03,RU,1690417576
268,la passe,45.5549,-0.8967,19.43,93,2,2.72,FR,1690417542
269,fisterra,42.9049,-9.2629,19.3,84,22,5.62,ES,1690417544
270,baraut,29.1,77.2667,25.84,91,100,2.41,IN,1690417924
271,isoka,-10.1606,32.6335,10.3,74,39,0.44,ZM,1690417924
272,khrenovoye,51.12,40.2889,21.93,61,89,3.74,RU,1690417924
273,belyy yar,53.6039,91.3903,14.94,94,7,0.0,RU,1690417538
274,shitanjing,39.2342,106.3439,25.52,45,100,0.5,CN,1690417928
275,northam,51.0333,-4.2167,18.14,99,100,9.5,GB,1690417545
276,saint-joseph,-21.3667,55.6167,19.21,83,41,4.12,RE,1690417610
277,bhamo,24.2667,97.2333,24.02,99,100,0.17,MM,1690417930
278,kone,-21.0595,164.8658,24.1,39,0,3.97,NC,1690417930
279,kalabo,-14.97,22.6814,12.75,49,0,2.47,ZM,1690417930
280,ormara,25.2088,64.6357,28.31,87,100,3.1,PK,1690417931
281,sisimiut,66.9395,-53.6735,6.5,81,41,1.38,GL,1690417542
282,malango,-2.9627,119.9001,23.23,76,24,0.89,ID,1690417931
283,mejit,10.2753,170.8646,28.24,79,100,7.5,MH,1690417609
284,mazouna,36.1223,0.8987,28.92,60,6,1.41,DZ,1690417931
285,palangkaraya,-2.2,113.8333,24.14,85,72,1.16,ID,1690417770
286,tacuarembo,-31.7333,-55.9833,8.21,91,3,2.72,UY,1690417932
287,weno,7.4515,151.8468,28.2,74,50,2.18,FM,1690417545
288,buka,40.8108,69.1986,26.96,19,3,3.59,UZ,1690417932
289,salinopolis,-0.6136,-47.3561,26.45,81,97,4.94,BR,1690417932
290,khovd,48.0056,91.6419,21.01,35,70,1.08,MN,1690417533
291,jumla,29.2747,82.1838,17.35,97,100,0.65,NP,1690417933
292,juhaynah,26.6732,31.4976,32.64,18,55,3.63,EG,1690417933
293,drahichyn,52.1874,25.1597,12.65,92,100,6.9,BY,1690417933
294,selebi-phikwe,-21.979,27.8498,12.27,71,2,3.91,BW,1690417933
295,mont-dore,-22.2833,166.5833,22.78,99,37,6.77,NC,1690417933
296,altos,-5.0381,-42.46,27.17,39,27,1.85,BR,1690417934
297,eraan,9.0629,117.7016,29.49,68,76,5.21,PH,1690417934
298,axim,4.8699,-2.2405,24.45,92,100,2.64,GH,1690417906
299,arinos,-15.9169,-46.1056,20.2,40,0,0.57,BR,1690417934
300,salalah,17.0151,54.0924,25.05,88,100,4.12,OM,1690417910
301,tampere,61.4991,23.7871,15.65,96,0,1.54,FI,1690417935
302,xiva,41.3783,60.3639,28.99,34,99,5.85,UZ,1690417935
303,castillos,-34.1667,-53.8333,10.1,79,38,6.57,UY,1690417544
304,amga,60.8953,131.9608,20.66,56,93,1.57,RU,1690417553
305,acatlan de osorio,18.2,-98.05,25.47,45,26,6.57,MX,1690417935
306,taman',45.2117,36.7161,24.14,67,0,3.33,RU,1690417934
307,kolonia town,6.964,158.206,31.06,70,40,5.14,FM,1690417893
308,labasa,-16.4167,179.3833,23.23,87,100,3.61,FJ,1690417935
309,nadym,65.5333,72.5167,19.83,75,16,3.19,RU,1690417936
310,castro,-24.7911,-50.0119,15.14,81,91,1.33,BR,1690417936
311,tynda,55.1667,124.7167,21.34,73,34,1.07,RU,1690417542
312,williams lake,52.1415,-122.1445,24.47,41,75,1.79,CA,1690417936
313,giddalur,15.35,78.9167,23.28,90,100,10.21,IN,1690417936
314,devils lake,48.1128,-98.8651,31.99,35,20,3.09,US,1690417937
315,taro,-8.3862,115.28,20.0,73,74,1.83,ID,1690417937
316,acarau,-2.8856,-40.12,26.01,81,35,7.82,BR,1690417589
317,sarykemer,43.0,71.5,24.71,27,0,3.45,KZ,1690417937
318,kahta,37.7855,38.6237,28.65,23,0,1.62,TR,1690417937
319,clodomira,-27.5744,-64.1311,13.67,53,92,2.64,AR,1690417937
320,nogliki,51.8333,143.1667,16.55,97,100,4.5,RU,1690417938
321,kuanda,56.3161,116.0806,23.74,62,73,0.36,RU,1690417938
322,kostomuksha,64.571,30.5767,11.21,93,34,0.64,RU,1690417938
323,alice town,25.7167,-79.3,27.99,78,100,10.45,BS,1690417938
324,peterhead,57.5058,-1.7981,13.22,82,33,6.36,GB,1690417938
325,borogontsy,62.6683,131.1683,21.42,41,25,2.51,RU,1690417939
326,aras-asan,8.8908,126.3033,28.93,69,100,3.65,PH,1690417939
327,sarina,-21.4333,149.2167,22.56,61,62,6.17,AU,1690417939
328,totness,5.8833,-56.3167,25.83,89,11,3.57,SR,1690417939
329,brooks,50.5834,-111.8851,26.99,22,0,2.57,CA,1690417381
330,yangambi,0.8102,24.4336,22.02,95,100,0.93,CD,1690417940
331,hermanus,-34.4187,19.2345,12.03,82,3,2.98,ZA,1690417539
332,cozumel,20.5083,-86.9458,31.04,82,75,5.14,MX,1690417643
333,lycksele,64.5954,18.6735,11.93,100,100,0.0,SE,1690417940
334,macusani,-14.0833,-70.4333,1.25,89,52,2.69,PE,1690417940
335,khorixas,-20.3667,14.9667,14.78,39,56,1.03,NA,1690417940
336,batken,39.8333,71.0,19.93,34,0,1.91,KG,1690417940
337,narrabri,-30.3167,149.7833,16.4,60,0,0.45,AU,1690417941
338,hadibu,12.65,54.0333,25.09,81,32,10.93,YE,1690417531
339,khandyga,62.6667,135.6,20.44,36,0,5.26,RU,1690417560
340,nantucket,41.2835,-70.0995,24.44,94,0,3.6,US,1690417710
341,igrim,63.1906,64.4162,14.53,97,100,1.59,RU,1690417599
342,itoman,26.1247,127.6694,29.21,79,100,4.63,JP,1690417604
343,mili,6.0815,171.735,28.28,74,19,4.36,MH,1690417934
344,gangneung,37.7556,128.8961,31.31,60,49,1.13,KR,1690417942
345,sitka,57.0531,-135.33,15.94,82,100,2.57,US,1690417531
346,touros,-5.1989,-35.4608,24.43,85,15,5.88,BR,1690417601
347,puerto baquerizo moreno,-0.9,-89.6,24.25,79,73,5.47,EC,1690417566
348,dauphin,51.1494,-100.0502,28.08,30,0,8.75,CA,1690417928
349,sarmiento,-45.5882,-69.07,1.99,52,100,2.46,AR,1690417774
350,laguna,38.421,-121.4238,38.08,32,0,7.2,US,1690417575
351,zelenogorskiy,55.0333,87.0,17.99,73,64,1.11,RU,1690417943
352,neryungri,56.6709,124.6491,22.68,63,20,2.09,RU,1690417943
353,aban,56.67,96.06,18.16,84,74,2.79,RU,1690417943
354,puerto el triunfo,13.2833,-88.55,28.4,74,89,1.97,SV,1690417944
355,kargasok,59.0556,80.8572,16.83,89,17,2.94,RU,1690417831
356,merelani,-3.5618,36.979,19.82,73,75,2.57,TZ,1690417945
357,madinat ash shamal,26.1293,51.2009,32.58,70,97,1.7,QA,1690417818
358,hami,42.8,93.45,32.83,11,0,4.05,CN,1690417945
359,sao geraldo do araguaia,-6.4006,-48.555,25.63,43,31,0.87,BR,1690417897
360,merizo village,13.2658,144.6691,25.88,97,100,7.61,GU,1690417607
361,siwa oasis,29.2041,25.5195,30.29,29,5,3.2,EG,1690417946
362,babayevo,59.3936,35.9371,12.24,98,13,2.26,RU,1690417946
363,fayetteville,35.0527,-78.8784,30.28,74,75,4.63,US,1690417946
364,baukau,51.5526,7.2042,17.25,71,100,2.68,DE,1690417946
